Month,OPUKShare,AGPUKS,IWVUK,OilField,Operator
01/2014,985,291,0,AFFLECK,MAERSK
01/2014,84962,6744,1018,ALBA,CEHVRON
01/2014,15816,48243,0,ALWYN,TOTAL
01/2014,0,0,0,ANDREW,BP
02/2014,11078,4175,0,AFFLECK,MAERSK
02/2014,69693,5450,890,ALBA,CEHVRON
02/2014,11820,36920,0,ALWYN,TOTAL
02/2014,0,0,0,ANDREW,BP
03/2014,2154,658,0,AFFLECK,MAERSK
03/2014,84452,7003,1137,ALBA,CEHVRON
03/2014,12183,37855,0,ALWYN,TOTAL
03/2014,0,0,0,ANDREW,BP
04/2014,2403,486,0,AFFLECK,MAERSK
04/2014,82052,6223,761,ALBA,CEHVRON
04/2014,12254,39510,0,ALWYN,TOTAL
04/2014,0,0,0,ANDREW,BP
05/2014,6880,2409,0,AFFLECK,MAERSK
05/2014,78179,4962,825,ALBA,CEHVRON
05/2014,27010,39959,0,ALWYN,TOTAL
05/2014,0,0,0,ANDREW,BP
06/2014,21519,6897,0,AFFLECK,MAERSK
06/2014,77964,5119,1218,ALBA,CEHVRON
06/2014,0,0,0,ALWYN,TOTAL
06/2014,0,0,0,ANDREW,BP
07/2014,19452,7876,0,AFFLECK,MAERSK
07/2014,83509,5292,955,ALBA,CEHVRON
07/2014,25991,39762,0,ALWYN,TOTAL
07/2014,0,0,0,ANDREW,BP
08/2014,3147,1494,0,AFFLECK,MAERSK
08/2014,83235,5303,1186,ALBA,CEHVRON
08/2014,31934,43695,0,ALWYN,TOTAL
08/2014,0,0,0,ANDREW,BP
09/2014,394,152,0,AFFLECK,MAERSK
09/2014,79738,5144,734,ALBA,CEHVRON
09/2014,31792,46466,0,ALWYN,TOTAL
09/2014,0,0,0,ANDREW,BP
10/2014,433,184,0,AFFLECK,MAERSK
10/2014,65567,4413,1074,ALBA,CEHVRON
10/2014,30629,60755,0,ALWYN,TOTAL
10/2014,208,3299,0,ANDREW,BP
11/2014,5994,2589,0,AFFLECK,MAERSK
11/2014,71765,4676,1185,ALBA,CEHVRON
11/2014,23720,49125,0,ALWYN,TOTAL
11/2014,750,4096,0,ANDREW,BP
12/2014,13801,8754,0,AFFLECK,MAERSK
12/2014,73914,4949,953,ALBA,CEHVRON
12/2014,27377,53946,0,ALWYN,TOTAL
12/2014,2832,10330,0,ANDREW,BP
